TIME,SOC,DEVICE_CHARGE_ENERGY,DEVICE_CHARGE_CAPACITY,DEVICE_SUM_CHARGE_VOLTAGE,DEVICE_SUM_CHARGE_CUTTENT,BMS_SUM_CHARGE_VOLTAGE,BMS_SUM_CHARGE_CUTTENT,REQUIRE_VOLTAGE,REQUIRE_CUTTENT,MAX_TEMP,MAX_TEMP_PROBE_ID,MIN_TEMP,MIN_VOLT_CELL_ID,MAX_CELL_VOLT,MAX_VOLT_CELL_ID,COMMON_ALARM_FLAG,BMS_STOP_CHARGE,CHARGER_STOP_CHARGE
1,38,3,0,394.9,1.47,395.5,-0.7,451.5,1.5,30,0,27,9,3.66,6,0,0,0
2,38,3,0,394.8,1.47,395.5,-0.7,451.5,1.5,30,0,27,9,3.66,6,0,0,0
3,38,3,0,394.8,1.47,395.5,-0.7,451.5,1.5,30,0,27,9,3.66,6,0,0,0
4,38,3,0,394.8,1.47,395.5,-0.7,451.5,1.5,30,0,27,9,3.66,6,0,0,0
5,38,3,0,394.8,1.47,395.5,-0.7,451.5,1.5,30,0,27,9,3.66,6,0,0,0
6,38,3,0,394.8,1.47,395.5,-0.7,451.5,1.5,30,0,27,9,3.66,6,0,0,0
7,38,3,0,394.8,1.47,395.5,-0.7,451.5,1.5,30,0,27,9,3.66,6,0,0,0
8,38,3,0,394.8,1.47,395.3,-0.7,451.5,45.6,30,0,27,9,3.66,6,0,0,0
9,38,3,0,396,5.67,397.6,-44.7,451.5,45.6,30,0,27,9,3.68,6,0,0,0
10,38,3,0,397.3,45.33,397.6,-45,451.5,45.6,30,0,27,9,3.68,6,0,0,0
11,38,4,0,397.4,45.72,397.7,-45,451.5,45.6,30,0,27,9,3.68,6,0,0,0
12,38,4,0,397.5,45.72,397.7,-45,451.5,45.6,30,0,27,9,3.68,6,0,0,0
13,38,5,1,397.5,45.7,397.7,-44.9,451.5,45.6,30,0,27,9,3.68,6,0,0,0
14,38,5,1,397.6,45.67,397.9,-44.9,451.5,45.6,30,0,27,9,3.68,6,0,0,0
15,38,6,1,397.7,45.67,397.9,-45,451.5,45.6,30,0,27,9,3.68,6,0,0,0
16,38,6,1,397.7,45.66,397.9,-44.9,451.5,45.6,30,0,27,9,3.68,6,0,0,0
17,38,7,1,397.7,45.66,396.9,-22.1,451.5,45.6,30,0,27,9,3.68,6,0,0,0
18,38,7,1,397.5,1.81,395.8,0.7,451.5,0,30,0,27,9,3.66,6,0,0,0
19,38,7,1,395.2,0,395.7,0.7,451.5,0,30,0,27,9,3.66,6,0,0,0
20,38,7,1,395.1,0,395.7,0.7,451.5,0,30,0,27,9,3.66,6,0,0,0
21,38,7,1,395.1,0,395.7,0.7,451.5,0,30,0,27,9,3.66,6,0,0,0
22,38,7,1,395,0,395.7,0.7,451.5,0,30,0,27,9,3.66,6,0,0,0
23,38,7,1,395,0,395.7,0.7,451.5,0,30,0,27,9,3.66,6,0,0,0
24,38,7,1,395,0,395.7,0.7,451.5,0,30,0,27,9,3.66,6,0,0,0
25,38,7,1,395,0,395.7,0.7,451.5,0,30,0,27,9,3.66,6,0,0,0
26,38,7,1,395,0,395.7,0.7,451.5,0,30,0,27,9,3.66,6,0,0,0
27,38,7,1,395,0,395.5,0.7,451.5,0,30,0,27,9,3.66,6,0,0,0
28,38,7,1,395,0,395.5,0.7,451.5,45.6,30,0,27,9,3.66,6,0,0,0
29,38,7,1,395,0,395.7,0.7,451.5,45.6,30,0,27,9,3.66,6,0,0,0
30,38,7,1,394.9,0,396.2,-12.8,451.5,45.6,30,0,27,9,3.67,6,0,0,0
31,38,7,1,395.7,17.37,396.9,-24.1,451.5,45.6,30,0,27,9,3.67,6,0,0,0
32,38,8,1,396.5,28.09,397.6,-41.8,451.5,45.6,30,0,27,9,3.68,6,0,0,0
33,38,8,1,396.5,28.09,397.9,-45.5,451.5,45.6,30,0,27,9,3.68,6,0,0,0
34,38,8,1,397.6,45.87,397.9,-45.1,451.5,45.6,30,0,27,9,3.68,6,0,0,0
35,38,9,2,397.7,45.73,397.9,-45.1,451.5,45.6,30,0,27,9,3.68,6,0,0,0
36,38,9,2,397.7,45.69,398.1,-45.1,451.5,45.6,30,0,27,9,3.68,6,0,0,0
37,38,10,2,397.8,45.67,398.1,-45.1,451.5,45.6,30,0,27,9,3.69,6,0,0,0
38,38,10,2,397.9,45.67,398.1,-45,451.5,45.6,30,0,27,9,3.69,6,0,0,0
39,38,11,2,397.9,45.66,398.1,-45.1,451.5,45.6,30,0,27,9,3.69,6,0,0,0
40,38,11,2,398,45.66,398.1,-45,451.5,45.6,30,0,27,9,3.69,6,0,0,0
